Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
133019,S500,Q06,F,26-30,true,false,true,0.37311354,0.57734394
133625,Q3,Q03,M,26-30,true,false,false,0.46373853,0.7337242
133827,Q2,Q02,M,22-25,true,false,false,0.1785823,0.73671895
133928,Q2,Q03,M,26-30,true,false,false,0.23001458,0.2406252
134021,S900,Q10,F,31-35,true,false,false,0.31569168,0.7796877
134223,S900,Q11,F,26-30,true,false,false,0.23066562,0.633594
134425,S900,Q07,F,26-30,true,false,false,0.08144688,0.47447938
134728,S900,Q08,M,26-30,true,false,false,0.61425936,0.9171877
134829,S900,Q11,F,31-35,true,true,false,0.12233229,0.15325542
135124,S1200,Q13,F,31-35,true,true,false,0.405275,0.7734377
135225,S500,Q06,F,22-25,true,false,false,0.45345208,0.7976565
135528,S500,Q05,F,26-30,true,false,false,0.2224625,0.883594
135629,S1200,Q12,M,22-25,true,false,false,0.07428542,0.4515627
135730,S900,Q09,M,22-25,true,false,false,0.17767084,0.84921896
135932,Q2,Q02,F,26-30,true,false,false,0.123634376,0.33007833
136227,S500,Q07,M,31-35,true,false,false,0.28157708,0.7001304
136631,S1200,Q09,M,22-25,true,false,false,0.045639582,0.052474167
136732,S900,Q07,F,31-35,true,false,false,0.10488438,0.4593752
136833,Q2,Q02,M,31-35,true,false,false,0.13548334,0.6031252
137229,S900,Q10,M,22-25,true,false,false,0.32610834,0.5375002
137532,S1200,Q12,M,31-35,true,false,false,0.5759781,0.9335939
137633,S500,Q06,F,22-25,true,false,false,0.18834792,0.09453146
138130,S1200,Q09,F,31-35,true,false,false,0.8688167,0.9843752
138231,Q1,Q01,F,31-35,true,false,false,0.119728126,0.17929709
138332,S1200,Q13,M,26-30,true,false,false,0.07715,0.30859396
138534,Q3,Q03,M,22-25,true,false,false,0.038478125,0.41966167
138837,S900,Q11,M,22-25,true,false,false,0.21035312,0.76796895
139233,S500,Q04,F,31-35,true,false,false,0.041863542,0.1684898
139435,S1200,Q13,F,26-30,true,false,false,0.19498855,0.48789084
139637,Q2,Q03,F,31-35,true,false,false,0.22754063,0.6843752
139839,S900,Q07,M,26-30,true,false,false,0.53405106,0.67252624
