Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
200008,S900,Q09,F,26-30,true,false,false,0.16074374,0.37812522
200109,S500,Q06,F,31-35,true,false,false,0.13743646,0.17148459
200311,S900,Q09,M,31-35,true,true,false,0.69537914,0.9125002
200513,S1200,Q12,M,22-25,true,false,false,0.7828792,0.9687502
200614,Q1,Q01,F,31-35,true,true,false,0.3910823,0.49921897
200917,S900,Q10,F,22-25,true,false,false,0.19772291,0.55416685
201111,Q1,Q01,M,26-30,true,false,false,0.07584792,0.09075542
201414,Q3,Q04,F,22-25,true,false,false,0.22220208,0.37421897
201515,S900,Q09,M,26-30,true,true,false,0.3912125,0.27356791
201818,S500,Q05,F,26-30,true,false,false,0.33600417,0.7359377
202113,S900,Q10,F,22-25,true,false,false,0.11725417,0.8343752
202719,S900,Q11,M,22-25,true,false,false,0.96178544,0.961719
203418,S500,Q04,M,26-30,true,true,false,0.5852229,0.9453127
203923,S900,Q09,F,26-30,true,false,false,0.449025,0.55729187
204016,S500,Q06,F,22-25,true,false,false,0.44238436,0.7312502
204218,S1200,Q09,M,26-30,true,false,false,0.30748853,0.76237
204319,S900,Q08,F,26-30,true,false,false,0.25123855,0.7406252
204420,S900,Q09,F,26-30,true,false,false,0.060222916,0.48320332
204521,S500,Q07,F,31-35,true,true,true,0.117644794,0.39609396
204622,S900,Q09,F,26-30,true,false,false,0.4956396,0.38229188
205119,Q2,Q03,M,31-35,true,false,true,0.31399897,0.4906252
205220,S500,Q05,F,26-30,true,true,false,0.20944166,0.34244812
205725,Q2,Q02,F,22-25,true,false,false,0.17623854,0.8048179
205826,Q3,Q03,M,31-35,true,false,false,0.61517084,0.66953146
206222,S900,Q10,M,26-30,true,false,false,0.98444164,0.9843752
206323,S1200,Q12,F,31-35,true,false,false,0.0724625,0.33776063
206525,S1200,Q09,M,26-30,true,false,false,0.42636874,0.42877626
206727,S1200,Q09,M,22-25,true,false,false,0.2611344,0.47200543
206828,S1200,Q11,M,22-25,true,false,false,0.5487646,0.805469
206929,S1200,Q12,M,31-35,true,false,false,0.16569167,0.28437522
207123,S900,Q10,M,26-30,true,false,false,0.16673334,0.48945335
207426,S900,Q08,M,26-30,true,false,false,0.21595208,0.36171895
208125,S900,Q08,F,26-30,true,false,false,0.224025,0.6531252
208226,Q3,Q03,F,22-25,true,false,false,0.13665521,0.46341166
208327,S500,Q06,M,26-30,true,false,false,0.8947281,0.9515627
209127,S900,Q07,F,31-35,true,false,false,0.07597812,0.18906271
209228,S900,Q08,F,26-30,true,true,false,0.10748854,0.48059916
209329,S900,Q11,F,31-35,true,false,false,0.24837396,0.28359395
209935,Q3,Q03,M,22-25,true,false,false,0.11465,0.27291688
210011,S500,Q05,M,22-25,true,false,false,0.20931146,0.73671895
210112,S1200,Q11,M,22-25,true,false,false,0.09850416,0.09791687
210415,S500,Q06,F,26-30,true,false,false,0.39095208,0.20117208
210617,Q1,Q02,F,31-35,true,false,false,0.077410415,0.08593771
211114,S900,Q06,F,26-30,true,false,false,0.078321874,0.34322938
211215,S500,Q04,M,26-30,true,false,false,0.2068375,0.5000002
211316,S500,Q06,F,31-35,true,false,false,0.31985834,0.7640627
211417,Q3,Q03,M,36+,true,false,false,0.5563167,0.6781252
211619,S1200,Q13,M,26-30,true,false,false,0.14147292,0.2184898
211720,Q3,Q04,M,31-35,true,false,false,0.16048333,0.43932313
211821,S1200,Q06,M,26-30,true,false,false,0.046941668,0.13437521
211922,S500,Q06,F,26-30,true,false,false,0.093035415,0.20677105
212015,S900,Q11,M,22-25,true,false,false,0.61660314,0.7602867
212116,S500,Q06,M,26-30,true,false,false,0.15254062,0.17408875
212217,S500,Q05,F,22-25,true,false,false,0.47636876,0.6289064
212318,Q2,Q02,F,31-35,true,false,true,0.17884271,0.4593752
212419,S500,Q05,F,26-30,true,true,false,0.32741043,0.79778665
212823,S900,Q10,M,22-25,true,false,true,0.27949375,0.44153666
213017,S1200,Q11,M,22-25,true,false,false,0.11230625,0.2656252
213421,S900,Q11,F,26-30,true,false,false,0.069858335,0.30664083
213522,S1200,Q12,M,26-30,true,false,false,0.274025,0.8390627
214019,Q2,Q02,F,31-35,true,true,false,0.17441562,0.29973978
214221,Q2,Q03,F,22-25,true,false,false,0.5959,0.6406252
214423,Q2,Q02,M,22-25,true,false,false,0.33756667,0.7281252
214524,S900,Q09,M,22-25,true,true,false,0.09446771,0.11328146
214726,S500,Q06,M,22-25,true,false,false,0.35423332,0.5557294
217126,Q3,Q04,M,22-25,true,false,false,0.2960302,0.15104188
217429,Q1,Q01,F,31-35,true,false,false,0.31738436,0.87734395
219231,S1200,Q05,M,26-30,true,false,false,0.4098323,0.5750002
220721,S900,Q07,M,26-30,true,false,false,0.22389479,0.961719
221319,Q2,Q03,F,26-30,true,true,false,0.037566666,0.21731792
223929,S900,Q09,M,31-35,true,false,false,0.2880875,0.58398455
224022,Q3,Q03,F,26-30,true,false,false,0.041863542,0.10130229
227432,S900,Q07,M,31-35,true,false,false,0.08743646,0.35195333
227533,S1200,Q08,F,31-35,true,false,false,0.5094417,0.7929689
228434,S900,Q08,F,22-25,true,false,false,0.4692073,0.39309916
231928,S500,Q04,F,26-30,true,false,false,0.11465,0.13802104
233326,S500,Q04,M,31-35,true,true,false,0.19355625,0.5476565
236130,S900,Q11,F,26-30,true,false,false,,
237334,S900,Q11,F,22-25,true,false,false,0.30215,0.3515627
238033,S1200,Q09,M,31-35,true,false,false,0.80553544,0.83450544
239944,Q3,Q03,F,31-35,true,false,false,0.2209,0.45065126
245333,Q3,Q03,F,31-35,true,false,false,0.5797542,0.80390644
246133,Q3,Q03,F,26-30,true,true,false,0.45332187,0.8945314
248339,S900,Q09,M,26-30,true,false,false,0.1272802,0.3980471
250427,Q1,Q01,F,31-35,true,false,false,0.28287917,0.8406252
250932,S500,Q05,F,31-35,true,false,false,0.32949376,0.5559898
251833,Q3,Q03,M,31-35,true,true,false,0.41816562,0.73671895
255639,Q1,Q01,F,26-30,true,false,true,0.2897802,0.9765627
255740,S1200,Q10,F,26-30,true,false,false,0.16647291,0.33919293
256540,S500,Q05,F,22-25,true,false,false,0.043816667,0.30351582
257542,S900,Q11,F,26-30,true,false,false,0.5065771,0.9309898
257845,S900,Q09,M,26-30,true,true,true,0.2849625,0.54921895
257946,S1200,Q08,F,26-30,true,false,false,0.36256668,0.5656252
263436,S900,Q10,F,31-35,true,true,false,0.1959,0.9265627
268749,S900,Q10,M,26-30,true,false,false,0.18756667,0.37044293
268850,S500,Q05,F,22-25,true,false,false,0.1505875,0.37083355
270332,S900,Q07,M,31-35,true,false,false,0.83912915,0.8914065
274542,S1200,Q13,F,26-30,true,false,false,0.49616042,0.45625022
275645,S900,Q10,M,22-25,true,false,false,0.015691666,0.015625209
280739,Q3,Q04,F,31-35,true,false,false,0.08730625,0.9843752
281135,S1200,Q12,M,26-30,true,false,false,0.6891292,0.7453127
283543,S900,Q09,M,22-25,true,true,true,0.03730625,0.15533875
285345,S500,Q07,F,31-35,true,false,false,0.4474625,0.8078127
285446,S500,Q06,M,31-35,true,false,false,0.081316665,0.04609396
286650,S900,Q09,M,26-30,true,false,false,0.1929052,0.15703146
287248,MEG2,Q08,F,26-30,true,false,true,0.51465,0.8320314
290136,S500,Q06,F,26-30,true,false,false,0.5281917,0.8437502
293748,Q2,Q02,F,31-35,true,false,true,0.12142083,0.7281252
295146,S900,Q07,F,26-30,true,false,false,0.07233229,0.27382833
297655,S900,Q08,F,31-35,true,false,false,0.24043125,0.5640627
298051,Q2,Q02,F,31-35,true,false,false,0.22285312,0.2389325
298455,S500,Q06,M,22-25,true,false,false,0.08235833,0.17734396
299154,S900,Q11,M,22-25,true,false,false,0.18613437,0.41731793
299760,S1200,Q09,M,26-30,true,false,false,0.38222814,0.7976565
300618,S900,Q04,M,22-25,true,false,false,0.016603125,0.03333354
300719,S1200,Q13,M,26-30,true,false,false,0.39082187,0.69296896
303119,S500,Q05,F,26-30,true,false,false,0.2680354,0.4031252
303624,S500,Q04,M,31-35,true,false,false,0.10123854,0.34270853
304020,Q1,Q02,M,31-35,true,false,false,0.15475416,0.4360679
304727,S900,Q09,F,31-35,true,false,false,0.2914729,0.43476585
305830,S900,Q10,F,22-25,true,false,false,0.09251458,0.3264325
307127,Q1,Q02,F,31-35,true,false,false,0.31972814,0.5519533
308129,S900,Q11,M,22-25,true,false,false,0.5447281,0.83164084
308331,S500,Q04,M,26-30,true,false,false,0.15787917,0.5588544
309636,S900,Q09,F,26-30,true,false,false,0.49069166,0.9765627
310621,S500,Q06,F,31-35,true,false,false,0.3645198,0.7765627
311320,S900,Q09,M,26-30,true,false,false,0.030275,0.030208541
314225,S1200,Q12,M,22-25,true,false,false,0.042384375,0.30703145
316633,S500,Q05,F,26-30,true,false,false,0.98444164,0.7375002
316835,S900,Q10,F,26-30,true,false,false,0.18222812,0.4423179
318637,S900,Q09,M,26-30,true,true,false,0.18704583,0.8218752
320826,S900,Q10,F,31-35,true,true,false,0.19655104,0.7656252
321323,S900,Q11,F,31-35,true,false,false,0.11399896,0.9593752
322224,S900,Q08,F,31-35,true,false,false,0.15215,0.6274742
325129,S1200,Q13,M,31-35,true,false,false,0.6289729,0.7102867
329844,S1200,Q07,M,26-30,true,false,false,0.12936354,0.2876304
330324,S900,Q09,M,26-30,true,true,false,0.174025,0.7343752
333330,S900,Q10,F,31-35,true,false,false,0.524025,0.54739606
334635,S500,Q05,F,22-25,true,false,false,0.20267083,0.83359396
336841,S900,Q08,M,26-30,true,false,false,0.3130875,0.2062502
339847,S500,Q04,F,26-30,true,false,false,0.039259374,0.13958354
341834,S900,Q07,M,26-30,true,false,false,0.89069164,0.9203127
342129,S1200,Q09,M,26-30,true,false,false,0.30136874,0.58190125
346137,S900,Q08,M,26-30,true,true,false,0.8120458,0.9609377
346945,S900,Q07,F,22-25,true,false,false,0.27298334,0.3031252
349244,S1200,Q08,M,26-30,true,false,false,0.5744156,0.86497414
350330,S1200,Q13,F,22-25,true,false,false,0.05761875,0.37747416
352132,S500,Q05,M,26-30,true,false,false,0.1598323,0.8593752
353740,S900,Q10,M,22-25,true,false,true,0.023504166,0.13203146
358144,S900,Q10,F,26-30,true,false,true,0.042775,0.32747418
360030,S1200,Q13,F,31-35,true,true,false,0.22285312,0.7962242
361234,S900,Q12,F,31-35,true,false,false,0.018426042,0.059505418
361941,Q3,Q03,M,26-30,true,false,false,0.2612646,0.87421894
365343,S500,Q06,F,26-30,true,true,false,0.28261876,0.9375002
366042,S500,Q04,F,26-30,true,false,false,0.43470207,0.8015627
366446,Q3,Q03,M,22-25,true,false,false,0.09225417,0.9609377
368753,S1200,Q12,F,31-35,true,false,false,0.47649896,0.79739606
371843,Q3,Q03,F,31-35,true,false,false,0.11074375,0.53476584
376247,S1200,Q13,F,26-30,true,false,false,0.066863544,0.56770855
377451,S500,Q05,F,26-30,true,false,false,0.43548334,0.7148439
378756,S1200,Q12,M,26-30,true,false,false,0.24629062,0.9257814
379657,S900,Q10,F,26-30,true,false,false,0.58444166,0.9375002
380036,S500,Q05,M,26-30,true,true,false,0.04655104,0.18515646
381038,S900,Q08,F,26-30,true,true,false,0.1738948,0.6634117
381543,S900,Q09,F,22-25,true,false,false,0.24863437,0.9046877
385046,S1200,Q09,M,26-30,true,true,false,0.91491044,0.91315126
385450,S500,Q05,M,26-30,true,false,false,0.105014585,0.35807312
386250,S500,Q04,M,22-25,true,false,false,0.6763688,0.84921896
387959,S900,Q10,M,26-30,true,false,false,0.10006667,0.28971374
389357,S900,Q07,F,26-30,true,true,false,0.70944166,0.9843752
390645,Q3,Q03,F,26-30,true,false,false,0.07962396,0.07656271
391748,S900,Q11,F,31-35,true,false,false,0.18769687,0.8502606
392447,S1200,Q07,M,31-35,true,false,false,0.27207187,0.53854185
393247,S900,Q08,F,31-35,true,true,false,0.24876459,0.46953145
393550,S900,Q08,M,26-30,true,false,false,0.26074374,0.31653666
394956,S1200,Q12,F,26-30,true,false,false,0.13131666,0.6125002
395251,S900,Q11,F,26-30,true,false,false,0.62754065,0.8852867
395756,S900,Q11,F,31-35,true,true,false,0.28626457,0.70169294
395958,S500,Q05,M,26-30,true,false,false,0.06256667,0.05221375
397154,S500,Q05,F,26-30,true,false,false,0.1818375,0.31419292
397760,Q2,Q02,M,31-35,true,true,false,0.41100416,0.40364605
397861,S500,Q06,M,31-35,true,false,false,0.09225417,0.33190125
401422,S1200,Q08,F,31-35,true,true,false,0.35423332,0.18372416
406836,S900,Q10,F,31-35,true,true,true,0.14642084,0.3843752
412528,S500,Q04,F,31-35,true,true,false,0.06347813,0.041015834
413934,S1200,Q09,F,31-35,true,false,false,0.27975416,0.73671895
414229,Q2,Q03,M,31-35,true,false,false,0.24798334,0.83737
415837,S500,Q06,F,22-25,true,false,false,0.31126457,0.711719
419239,S1200,Q12,F,26-30,true,false,false,0.136525,0.121745
421226,S1200,Q13,M,31-35,true,false,false,0.24563958,0.663021
422632,S500,Q04,F,22-25,true,false,false,0.04603021,0.097135626
424939,S900,Q10,M,26-30,true,false,false,0.15631667,0.6765627
429040,S900,Q02,F,31-35,true,true,false,0.13912916,0.4309898
432332,S900,Q10,F,31-35,true,false,false,0.12584792,0.21979187
433839,S500,Q04,M,26-30,true,false,false,0.38313958,0.64622414
436239,S500,Q05,F,26-30,true,false,false,0.37428543,0.48828146
436845,S500,Q04,F,26-30,true,true,false,0.18782708,0.33906272
441939,S500,Q07,F,26-30,true,false,false,0.48144686,0.7718752
445543,S500,Q05,M,26-30,true,false,false,0.45449376,0.43164083
448347,Q2,Q02,M,26-30,true,false,false,0.07780104,0.5626304
449753,S900,Q10,M,22-25,true,false,false,0.10436354,0.6233075
453441,S900,Q07,M,31-35,true,false,false,0.50892085,0.73177105
453542,S1200,Q12,F,31-35,true,false,false,0.096941665,0.12760438
454140,S1200,Q12,M,31-35,true,false,false,0.23053542,0.33007833
456346,S900,Q10,F,22-25,true,false,false,0.08925938,0.71002626
459453,S900,Q09,F,26-30,true,false,false,0.08795729,0.44960958
461743,S1200,Q11,M,26-30,true,false,false,0.045379166,0.11289083
463040,S1200,Q13,F,31-35,true,true,false,0.16282709,0.7588544
465852,S500,Q05,F,26-30,true,false,false,0.06425937,0.10416687
467351,S900,Q03,M,31-35,true,true,false,0.5712906,0.7328127
468050,S1200,Q08,F,31-35,true,false,false,0.261525,0.5484377
469961,S1200,Q13,F,26-30,true,false,false,0.13847813,0.805469
479762,S500,Q04,M,22-25,true,false,false,0.98444164,0.9843752
480141,S500,Q04,F,22-25,true,false,false,0.08886875,0.2625002
481042,S1200,Q12,F,31-35,true,false,false,0.14316562,0.727995
481951,S900,Q10,F,22-25,true,false,false,0.774676,0.9843752
485757,Q2,Q03,F,31-35,true,false,false,0.06803542,0.24140646
486759,S500,Q05,M,31-35,true,false,false,0.23105624,0.50898457
495255,S900,Q10,M,31-35,true,false,false,0.06556146,0.43802103
497865,Q3,Q04,M,26-30,true,false,false,0.14173333,0.32578146
499566,Q1,Q01,F,26-30,true,false,false,0.39355624,0.9359377
500222,S500,Q05,F,26-30,true,false,false,0.17975417,0.3562502
506234,S900,Q11,M,26-30,true,false,false,0.5660823,0.6445314
510225,S1200,Q08,F,26-30,true,false,false,0.37480626,0.9421877
510326,S500,Q05,F,26-30,true,false,false,0.292775,0.1281252
512835,MEG2,Q07,M,31-35,true,false,false,0.20254062,0.569271
513130,S1200,Q12,F,26-30,true,false,false,0.2987646,0.41862
513736,S900,Q07,F,22-25,true,false,false,0.10879063,0.3062502
516742,S1200,Q11,M,31-35,true,false,false,0.050717708,0.51328146
517239,S900,Q11,M,22-25,true,false,false,0.096941665,0.37044293
518746,S1200,Q12,M,22-25,true,false,false,0.30892083,0.84466165
519647,S1200,Q13,M,26-30,true,false,false,0.032097917,0.10039084
519950,S500,Q04,F,31-35,true,false,false,0.16829583,0.15625021
520228,S900,Q10,M,22-25,true,false,false,0.17037916,0.7455731
522434,S500,Q05,F,26-30,true,false,false,0.35123855,0.41796896
523032,S900,Q09,M,31-35,true,false,false,0.3149104,0.8859377
524135,S900,Q10,M,22-25,true,false,false,0.086525,0.6531252
525541,S900,Q10,F,26-30,true,true,false,0.25149897,0.4839846
529549,S900,Q07,F,26-30,true,false,false,0.29017082,0.55729187
529953,S900,Q10,M,26-30,true,false,false,0.035092708,0.20520854
530635,Q1,Q02,M,26-30,true,false,false,0.46881667,0.9312502
531536,S500,Q05,M,31-35,true,false,false,0.37649897,0.9843752
536647,S900,Q08,F,31-35,true,false,false,0.5698583,0.8647137
540436,S500,Q06,M,31-35,true,false,false,0.16048333,0.50494814
541640,S1200,Q06,M,26-30,true,false,false,0.4459,0.71328145
541943,Q3,Q03,F,26-30,true,true,false,0.038998958,0.060416874
545345,Q3,Q04,M,31-35,true,false,false,0.45084792,0.55416685
548250,S900,Q08,M,22-25,true,false,false,0.50579584,0.7851564
552241,S1200,Q12,M,22-25,true,false,false,0.46530104,0.43697938
553344,S900,Q11,F,31-35,true,false,false,0.436525,0.8923179
555348,S900,Q09,F,31-35,true,false,false,0.123373955,0.07682312
555651,S900,Q11,F,31-35,true,false,false,0.21920729,0.402995
555954,S1200,Q09,M,26-30,true,false,false,0.08170729,0.3110679
557857,S900,Q09,M,22-25,true,false,false,0.07688958,0.3121096
558657,S1200,Q13,M,22-25,true,false,false,0.38756666,0.8781252
558960,S1200,Q12,F,31-35,true,false,false,0.14550938,0.33776063
559053,Q1,Q02,F,31-35,true,false,true,0.5380875,0.8687502
559457,S1200,Q13,M,31-35,true,false,false,0.1975927,0.546745
561242,Q3,Q03,F,22-25,true,false,false,0.13144687,0.23489605
561444,S900,Q11,M,22-25,true,false,false,0.33392084,0.95546895
561949,S1200,Q12,M,26-30,true,false,false,0.24850416,0.6688804
562345,S900,Q07,F,31-35,true,true,false,0.066863544,0.07656271
562446,S500,Q06,F,31-35,true,false,false,0.45944166,0.82057315
565452,S500,Q05,F,22-25,true,false,false,0.18457188,0.08828146
566454,S500,Q06,F,26-30,true,false,false,0.11022291,0.48203146
567052,S500,Q05,M,31-35,true,false,false,0.26256666,0.5812502
567759,S1200,Q09,F,26-30,true,false,false,0.081316665,0.33059916
567961,S500,Q06,F,22-25,true,false,false,0.08951979,0.10546896
568963,S500,Q05,F,31-35,true,false,true,0.08444167,0.42473978
570243,Q3,Q03,F,26-30,true,false,false,0.058920834,0.51041687
571144,S900,Q09,M,22-25,true,false,false,0.07975417,0.19960958
572045,S900,Q08,F,31-35,true,true,false,0.3616552,0.9160158
573249,S500,Q04,M,26-30,true,true,false,0.25618646,0.6828127
573451,S500,Q07,M,22-25,true,false,false,0.49030104,0.9578127
576255,S900,Q10,F,31-35,true,false,false,0.56686354,0.7812502
579867,S900,Q10,F,31-35,true,false,false,0.27780104,0.48671895
580044,S500,Q05,F,26-30,true,false,false,0.35162917,0.25494814
580650,S900,Q09,F,31-35,true,false,false,0.18274896,0.08098979
580751,S900,Q10,M,22-25,true,false,false,0.2005875,0.5507814
581349,Q2,Q02,M,31-35,true,false,false,0.096941665,0.12200542
581450,S900,Q09,M,22-25,true,true,true,0.2770198,0.4464846
583858,S500,Q05,M,31-35,true,false,false,0.31230626,0.47395855
585256,S900,Q11,F,31-35,true,false,false,0.12584792,0.21132833
586460,Q3,Q03,F,26-30,true,false,false,0.13470209,0.4906252
587664,S900,Q08,F,26-30,true,false,false,0.31412917,0.5320315
588565,S900,Q09,M,31-35,true,false,false,0.18079583,0.6171877
589567,S1200,Q13,M,22-25,true,false,false,0.2067073,0.2328127
590047,S1200,Q09,M,22-25,true,false,false,0.26959792,0.9545575
594156,S500,Q06,M,26-30,true,false,false,0.48366043,0.7514325
597869,S900,Q11,M,31-35,true,false,false,0.14069167,0.4813804
598568,Q2,Q03,M,26-30,true,false,false,0.20579584,0.7718752
599065,S900,Q04,M,22-25,true,false,false,0.4720719,0.62734395
599469,S500,Q04,F,31-35,true,false,false,0.11048333,0.5234377
599671,S500,Q05,M,26-30,true,false,true,0.065691665,0.20820333
604537,S900,Q11,M,22-25,true,false,false,0.20722812,0.52265644
609143,S900,Q08,F,31-35,true,false,false,0.30280104,0.80091166
611938,S900,Q09,M,22-25,true,false,false,0.47024897,0.8593752
613538,S500,Q04,F,26-30,true,false,false,0.1629573,0.06757833
615744,S900,Q09,F,26-30,true,false,false,0.51816565,0.8281252
616645,S900,Q11,M,22-25,true,false,false,0.6643896,0.6712242
617748,S900,Q11,F,26-30,true,true,false,0.10319167,0.565495
618952,S900,Q11,M,22-25,true,false,false,0.032097917,0.03723979
622236,S500,Q06,M,22-25,true,false,false,0.03743646,0.122135624
623844,S500,Q05,M,26-30,true,false,false,0.024025,0.4968752
626648,S900,Q10,F,22-25,true,false,false,0.34954584,0.8968752
627549,Q2,Q02,F,31-35,true,true,false,0.050196875,0.10013042
627852,S900,Q10,M,26-30,true,false,false,0.28418124,0.20716166
628248,S900,Q08,M,26-30,true,false,false,0.25774896,0.79921895
633847,S900,Q08,F,22-25,true,false,false,0.44811353,0.961719
634748,S1200,Q13,F,22-25,true,false,false,0.22988437,0.27421895
635245,S1200,Q12,M,26-30,true,false,false,0.12103021,0.28007832
638049,Q1,Q02,F,31-35,true,true,false,0.1474625,0.18020855
645450,S900,Q09,F,26-30,true,false,false,0.06412917,0.15885438
645551,Q2,Q03,F,22-25,true,false,false,0.1849625,0.3843752
647858,S900,Q11,M,26-30,true,false,false,0.23938958,0.29401064
654350,S900,Q08,F,26-30,true,false,false,0.37675938,0.3093752
654552,S1200,Q12,F,31-35,true,true,false,0.3443375,0.555469
654754,Q2,Q02,F,31-35,true,false,false,0.028972916,0.09140646
656253,S900,Q07,M,26-30,true,false,false,0.102019794,0.31679708
656657,S900,Q11,M,22-25,true,false,false,0.16478021,0.54401064
657659,S900,Q12,F,22-25,true,false,false,0.98444164,0.9843752
660951,MEG2,Q08,F,26-30,true,false,true,0.3085302,0.6158856
663755,S900,Q11,F,22-25,true,false,false,0.4867854,0.5906252
664757,S900,Q11,M,26-30,true,false,false,0.10605625,0.60794294
665254,Q1,Q01,F,31-35,true,false,false,0.07793125,0.073437706
667056,S900,Q10,M,22-25,true,false,true,0.06920729,0.15104188
668361,S900,Q09,M,31-35,true,false,false,0.35162917,0.85078144
671855,S900,Q09,M,26-30,true,true,false,0.32506666,0.8515627
672756,Q1,Q01,M,31-35,true,false,false,0.086134374,0.33098978
673455,S500,Q06,F,31-35,true,false,false,0.6283219,0.8937502
675661,S1200,Q12,M,31-35,true,false,false,0.041863542,0.33059916
677766,S900,Q09,M,26-30,true,false,false,0.05006667,0.7304689
677968,Q2,Q03,F,31-35,true,false,false,0.12819166,0.48750022
679568,S500,Q06,F,26-30,true,false,false,0.12884271,0.15885438
679770,S900,Q09,M,26-30,true,false,true,0.30149895,0.36953145
680452,S1200,Q13,F,31-35,true,false,false,0.21829583,0.37148458
680957,Q3,Q03,F,26-30,true,true,true,0.05384271,0.21770854
683256,S500,Q04,F,26-30,true,false,false,0.3020198,0.6750002
687163,S500,Q06,M,22-25,true,false,false,0.2379573,0.49804708
690152,S500,Q05,M,26-30,true,true,false,0.97662914,0.9843752
692964,S1200,Q12,M,22-25,true,false,false,0.11087396,0.030208541
693764,S900,Q11,M,31-35,true,false,false,0.27910313,0.5282554
694362,S1200,Q13,F,22-25,true,false,false,0.58444166,0.7968752
695768,S500,Q06,M,26-30,true,false,false,0.1551448,0.45703146
698168,S1200,Q12,M,22-25,true,false,false,0.27715,0.7375002
700634,S900,Q10,M,26-30,true,false,false,0.120639585,0.7734377
702133,Q2,Q02,F,31-35,true,false,false,0.1460302,0.14791687
704238,Q3,Q03,M,26-30,true,false,false,0.592775,0.7843752
705341,Q3,Q03,M,31-35,true,false,false,0.53756666,0.9687502
707749,S900,Q07,M,31-35,true,false,true,0.09824375,0.46315125
709551,S500,Q06,F,31-35,true,false,false,0.07129063,0.14401062
715950,MEG2,Q07,F,26-30,true,false,false,0.30358228,0.9500002
720337,S900,Q07,M,22-25,true,false,false,0.79694164,0.8359377
723141,S1200,Q12,M,31-35,true,false,false,0.34303543,0.9328127
724446,S900,Q11,M,22-25,true,true,false,0.17767084,0.26914084
725751,S900,Q05,M,26-30,true,true,true,0.059702083,0.8108075
728454,S1200,Q12,M,22-25,true,false,false,0.34824374,0.8593752
729557,Q1,Q01,F,22-25,true,false,false,0.08170729,0.55091166
731140,S900,Q11,F,31-35,true,false,false,0.12532708,0.25039083
732243,Q1,Q02,F,31-35,true,true,false,0.32610834,0.5434898
734045,Q2,Q03,M,22-25,true,false,false,0.07793125,0.05703146
735148,S900,Q06,M,22-25,true,false,true,0.14511874,0.035937708
742549,S500,Q06,M,26-30,true,false,false,0.48847812,0.79453146
744553,S900,Q11,F,31-35,true,false,false,0.092775,0.50807315
748258,Q2,Q03,F,22-25,true,false,false,0.44303542,0.9312502
749058,S900,Q11,M,22-25,true,false,false,0.28600416,0.9296877
751348,Q3,Q03,M,26-30,true,false,false,0.34694168,0.57434916
753150,S900,Q10,M,22-25,true,false,false,0.30241042,0.74453145
756055,Q3,Q03,M,22-25,true,false,false,0.045639582,0.038541876
757764,S1200,Q13,F,36+,true,true,false,0.16725416,0.6118492
759869,S500,Q05,M,31-35,true,false,false,0.07298333,0.2720054
761957,Q3,Q03,F,26-30,true,false,false,0.1568375,0.38372415
763557,S1200,Q09,M,26-30,true,false,false,0.21998854,0.5829429
765056,Q3,Q03,M,26-30,true,false,false,0.07688958,0.04739604
765864,S1200,Q08,F,26-30,true,true,false,0.6352229,0.9140627
767464,S900,Q09,F,26-30,true,false,false,0.21556146,0.5218752
769064,S900,Q10,M,26-30,true,false,false,0.3318375,0.41809916
770352,S500,Q04,F,26-30,true,true,false,0.18600416,0.35950541
771354,S500,Q04,F,26-30,true,true,false,0.1255875,0.5325523
773257,S900,Q10,M,26-30,true,false,false,0.33105624,0.9584637
774663,S1200,Q13,M,26-30,true,false,false,0.5352229,0.7617189
779370,S500,Q04,F,26-30,true,false,false,0.09407708,0.065495
782561,S500,Q06,F,31-35,true,true,false,0.16438958,0.17135437
783462,MEG2,Q08,M,22-25,true,true,true,0.52337396,0.9187502
784565,S500,Q06,F,26-30,true,false,false,0.20618646,0.7468752
788674,S1200,Q11,F,31-35,true,false,false,0.186525,0.6416669
788876,Q2,Q02,F,31-35,true,false,false,0.06347813,0.23164083
789373,S500,Q06,M,26-30,true,true,false,0.14329584,0.34114605
792564,Q1,Q01,F,31-35,true,false,false,0.093035415,0.2076825
792867,S900,Q12,M,36+,true,false,false,0.3442073,0.36145854
800941,S900,Q10,M,26-30,true,false,false,0.1959,0.6184898
802844,S500,Q06,F,22-25,true,false,false,0.0599625,0.7046877
803240,S900,Q09,M,22-25,true,false,false,0.45787916,0.4751304
810843,S900,Q11,M,31-35,true,false,false,0.073504165,0.17187521
812746,S900,Q11,M,22-25,true,false,false,0.041472916,0.038021043
814548,S1200,Q13,F,31-35,true,false,false,0.07155104,0.11953146
815247,S1200,Q08,M,26-30,true,false,false,0.7347021,0.7970054
816653,S500,Q04,F,22-25,true,false,false,0.30267084,0.8164064
818455,S1200,Q08,M,31-35,true,false,false,0.48457187,0.78763044
818859,S900,Q08,M,31-35,true,true,false,0.1193375,0.8328127
820745,S900,Q07,M,31-35,true,false,false,0.124545835,0.8516929
825048,MEG2,Q07,F,31-35,true,true,false,0.038347915,0.19479187
825553,S1200,Q09,M,26-30,true,false,false,0.15579583,0.16119812
825654,S1200,Q12,F,31-35,true,false,false,0.6245458,0.4968752
826353,Q1,Q01,F,26-30,true,true,false,0.26530105,0.42500022
826454,S500,Q06,F,26-30,true,false,false,0.15436354,0.37929708
