tractID,Unnamed: 0,nodeID,dki_fa,dki_md,dki_mk,dki_awf,subjectID
UNC_R,1449.5,49.5,0.4610145199024812,0.0009064785730887529,1.0109475437288948,0.3412659031366541,149539
ARC_L,1349.5,49.5,0.5004073848847499,0.0009081308310556841,1.0283537719315754,0.3905204048514792,149741
ARC_R,1249.5,49.5,0.4609523670172505,0.000899511403386615,1.0224557339090432,0.37465470940669293,149741
ATR_L,149.5,49.5,0.4472890686956346,0.0008873296146397259,0.9942791754205247,0.3482453391624412,149741
ATR_R,49.5,49.5,0.43250218774959853,0.0009394961805037801,1.0427789372016358,0.3526578096355235,149741
AntFrontal,1649.5,49.5,0.532569325978073,0.000934802749133537,1.0160819453930776,0.39023197873337523,149741
CGC_L,349.5,49.5,0.4917676195257358,0.000915565685618779,0.9894590443786874,0.37082763055203166,149741
CGC_R,249.5,49.5,0.4728063978328087,0.000925601606303057,1.0227180665409337,0.3752353690965367,149741
CST_L,549.5,49.5,0.5465876556660921,0.0008719520398828839,1.0843455227935097,0.40851023463798164,149741
CST_R,449.5,49.5,0.5559428344548646,0.000868794253733358,1.0836555660609104,0.4076712189933337,149741
IFO_L,749.5,49.5,0.5472663209144993,0.000914194078059858,1.0055190400243692,0.3825419189625437,149741
IFO_R,649.5,49.5,0.5199655688718507,0.000953182327113776,0.9966601309216631,0.3681586811116228,149741
ILF_L,949.5,49.5,0.5131526961843494,0.000955532088974281,0.960889140683087,0.3613348595747703,149741
ILF_R,849.5,49.5,0.5035824538441172,0.000968915953030092,0.9657408982468338,0.35915745359622947,149741
Motor,1749.5,49.5,0.544689938298929,0.000888727976247262,0.9980805526237462,0.39937252706782195,149741
Occipital,1849.5,49.5,0.6345126625931802,0.000929968463064011,0.9583409026761514,0.4073753787014678,149741
Orbital,1949.5,49.5,0.5485350154846578,0.000921928018421984,1.0764042089158377,0.39297488782212114,149741
PostParietal,2049.5,49.5,0.5758795424005424,0.000898423292929735,0.939840672503137,0.39852956356775576,149741
SLF_L,1149.5,49.5,0.4540067479586233,0.000927588450984019,1.0056325590782473,0.37796017748156807,149741
SLF_R,1049.5,49.5,0.48217595543972136,0.0008890986939718349,1.0229115228912884,0.3881093659097277,149741
SupFrontal,2149.5,49.5,0.5386300016742689,0.0009190724807660109,1.0094852129954217,0.388311544879302,149741
SupParietal,2249.5,49.5,0.5649825222797574,0.000909486404880437,0.9298763526985987,0.393235106923612,149741
Temporal,2349.5,49.5,0.5846038289270418,0.0009605496991532369,0.9808121955183414,0.3907707190899535,149741
UNC_L,1549.5,49.5,0.44159760834075923,0.0010278255523743,0.8881575710383803,0.30698097487128,149741
UNC_R,1449.5,49.5,0.43330834107801636,0.0010295432868494931,0.8965501519266799,0.3074101538800561,149741
ARC_L,1349.5,49.5,0.5330664256017733,0.000820254527784335,1.0575379651212866,0.4095635721807237,149842
ARC_R,1249.5,49.5,0.4934952521463656,0.000851136255729266,1.051286959327079,0.39182396366544864,149842
ATR_L,149.5,49.5,0.45067914006631393,0.000919468643817275,1.059686956214561,0.3627144340713911,149842
ATR_R,49.5,49.5,0.45879482397129595,0.000876807887060879,1.053016383292965,0.3682748328560638,149842
AntFrontal,1649.5,49.5,0.5423591119647767,0.0009040243001783731,1.0873178007838347,0.40145955856749466,149842
CGC_L,349.5,49.5,0.5324222995356592,0.000852154786910366,1.0650392371437507,0.39957864112388913,149842
CGC_R,249.5,49.5,0.5024926746203151,0.000865262538659225,1.0447698904935452,0.38529673132642567,149842
CST_L,549.5,49.5,0.5668172788837826,0.000819361806899951,1.1411414153104666,0.43507571672976064,149842
CST_R,449.5,49.5,0.5644294144963183,0.000852010063761721,1.113946996020705,0.4237939191644373,149842
IFO_L,749.5,49.5,0.5296639194954654,0.00093929110683568,1.0073433911016065,0.3767737493617658,149842
IFO_R,649.5,49.5,0.5546824478612714,0.0008687970336377079,1.0036589219761596,0.38688578000287954,149842
ILF_L,949.5,49.5,0.5149693209423704,0.000918852747855904,0.980701542755136,0.3651349486681545,149842
ILF_R,849.5,49.5,0.522830892989646,0.000874966926409672,0.9882837244611486,0.37953308860829926,149842
Motor,1749.5,49.5,0.5781048656085731,0.0008834460095108961,1.0155182529806812,0.40944409588834935,149842
Occipital,1849.5,49.5,0.6409179069354594,0.000915566483097474,1.0319584699473743,0.4218877657317014,149842
Orbital,1949.5,49.5,0.5430822430094061,0.00086387972255942,1.120058873000576,0.3986757258841771,149842
PostParietal,2049.5,49.5,0.5690034026886258,0.0008914268684925241,1.0063379161322745,0.4132280896082677,149842
SLF_L,1149.5,49.5,0.5017972079515158,0.0008364159128847171,1.033702454619346,0.39668791839375317,149842
SLF_R,1049.5,49.5,0.5103124528831207,0.000899929883580863,1.0428300894304026,0.39450434115256344,149842
SupFrontal,2149.5,49.5,0.5695387491809846,0.000879877582699224,1.0608973728304876,0.41510881311521863,149842
SupParietal,2249.5,49.5,0.5710176398286813,0.000899595488213563,0.9821131392757303,0.4043775667687168,149842
Temporal,2349.5,49.5,0.5684725283348127,0.000982559732152298,1.0000914507282,0.3919223751870596,149842
